type,name
Field,Rider_History__b.Start_Time__c
Field,Rider_History__b.Start_Location_Longitude__c
Field,Rider_History__b.Start_Location_Latitude__c
Field,Rider_History__b.Service_Type__c
Field,Rider_History__b.Rider_Rating__c
Field,Rider_History__b.Rider_Account__c
Field,Rider_History__b.End_Time__c
Field,Product2.numberOfFlowers__c
Field,Product2.glow__c
Field,Product2.fragrance__c
Field,Product2.colorTheme__c
Field,Property__c.Zip__c
Field,Property__c.Thumbnail__c
Field,Property__c.Thumbnail_IMG__c
Field,Property__c.Tags__c
Field,Property__c.Status__c
Field,Property__c.State__c
Field,Property__c.Record_Link__c
Field,Property__c.Price__c
Field,Property__c.Price_Sold__c
Field,Property__c.Picture__c
Field,Property__c.Picture_IMG__c
Field,Property__c.Location__c
Field,Property__c.Description__c
Field,Property__c.Days_On_Market__c
Field,Property__c.Date_Pre_Market__c
Field,Property__c.Date_Listed__c
Field,Property__c.Date_Contracted__c
Field,Property__c.Date_Closed__c
Field,Property__c.Date_Agreement__c
Field,Property__c.City__c
Field,Property__c.Broker__c
Field,Property__c.Beds__c
Field,Property__c.Baths__c
Field,Property__c.Assessed_Value__c
Field,Property__c.Address__c
Field,OrderItem.glow__c
Field,OrderItem.colorTheme__c
Field,Opportunity.comments__c
Field,Opportunity.TrackingNumber__c
Field,Opportunity.OrderNumber__c
Field,Opportunity.MainCompetitors__c
Field,Opportunity.Discount_Percentage__c
Field,Opportunity.DeliveryInstallationStatus__c
Field,Opportunity.CurrentGenerators__c
Field,Opportunity.Approval_Status__c
Field,Knowledge__kav.Question__c
Field,Knowledge__kav.InternalNotes__c
Field,Knowledge__kav.DigitalEngagementResponse__c
Field,Knowledge__kav.Content__c
Field,Lead.SICCode__c
Field,Lead.ProductInterest__c
Field,Lead.Primary__c
Field,Lead.Possible_Matching_Account__c
Field,Lead.NumberofLocations__c
Field,Lead.Lead_Name_Competitor__c
Field,Lead.Lead_Competitor__c
Field,Lead.CurrentGenerators__c
Field,Lead.Competitor_3__c
Field,Lead.Competitor_3_Price__c
Field,Lead.Competitor_2__c
Field,Lead.Competitor_2_Price__c
Field,Lead.Competitor_1__c
Field,Lead.Competitor_1_Price__c
Field,Lead.Comments__c
Field,House__c.Zip__c
Field,House__c.State__c
Field,House__c.Price__c
Field,House__c.Picture__c
Field,House__c.City__c
Field,House__c.Bedroom__c
Field,House__c.Bathrooms__c
Field,House__c.Address__c
Field,Contact.Prequalifie__c
Field,Contact.Level__c
Field,Contact.Languages__c
Field,Broker__c.Title__c
Field,Broker__c.Picture__c
Field,Broker__c.Picture_IMG__c
Field,Broker__c.Phone__c
Field,Broker__c.Mobile_Phone__c
Field,Broker__c.Email__c
Field,Broker__c.Broker_Id__c
Field,Case.Warranty_Summary__c
Field,Case.SLAViolation__c
Field,Case.Product__c
Field,Case.Product_Total_Warranty_Days__c
Field,Case.Product_Purchase_Date__c
Field,Case.PotentialLiability__c
Field,Case.Has_Extended_Warranty__c
Field,Case.EngineeringReqNumber__c
Field,Account.UpsellOpportunity__c
Field,Account.Top_Account__c
Field,Account.StartDate__c
Field,Account.SLA__c
Field,Account.SLASerialNumber__c
Field,Account.SLAExpirationDate__c
Field,Account.NumberofLocations__c
Field,Account.Number_Of_Contacts__c
Field,Account.Match_Billing_Address__c
Field,Account.Last_Name__c
Field,Account.Founding_Date__c
Field,Account.First_Name__c
Field,Account.Customer_ID__c
Field,Account.CustomerPriority__c
Field,Account.Active__c