name,max,remaining,used,percentUsed,severity,severityIcon,label
ActiveScratchOrgs,5,5,0,0,success,✅," Active Scratch Orgs"
AnalyticsExternalDataSizeMB,40960,40960,0,0,success,✅," Analytics External Data Size M B"
CdpAiInferenceApiMonthlyLimit,500000000,500000000,0,0,success,✅," Cdp Ai Inference Api Monthly Limit"
ConcurrentAsyncGetReportInstances,200,200,0,0,success,✅," Concurrent Async Get Report Instances"
ConcurrentEinsteinDataInsightsStoryCreation,5,5,0,0,success,✅," Concurrent Einstein Data Insights Story Creation"
ConcurrentEinsteinDiscoveryStoryCreation,2,2,0,0,success,✅," Concurrent Einstein Discovery Story Creation"
ConcurrentSyncReportRuns,20,20,0,0,success,✅," Concurrent Sync Report Runs"
DailyAnalyticsDataflowJobExecutions,60,60,0,0,success,✅," Daily Analytics Dataflow Job Executions"
DailyAnalyticsUploadedFilesSizeMB,51200,51200,0,0,success,✅," Daily Analytics Uploaded Files Size M B"
DailyApiRequests,15000,9758,5242,34.95,success,✅," Daily Api Requests"
DailyAsyncApexExecutions,250000,250000,0,0,success,✅," Daily Async Apex Executions"
DailyAsyncApexTests,1560,1560,0,0,success,✅," Daily Async Apex Tests"
DailyBulkApiBatches,15000,15000,0,0,success,✅," Daily Bulk Api Batches"
DailyBulkV2QueryFileStorageMB,976562,976562,0,0,success,✅," Daily Bulk V2 Query File Storage M B"
DailyBulkV2QueryJobs,10000,10000,0,0,success,✅," Daily Bulk V2 Query Jobs"
DailyDeliveredPlatformEvents,10000,10000,0,0,success,✅," Daily Delivered Platform Events"
DailyDurableGenericStreamingApiEvents,10000,10000,0,0,success,✅," Daily Durable Generic Streaming Api Events"
DailyDurableStreamingApiEvents,10000,10000,0,0,success,✅," Daily Durable Streaming Api Events"
DailyEinsteinDataInsightsStoryCreation,1000,1000,0,0,success,✅," Daily Einstein Data Insights Story Creation"
DailyEinsteinDiscoveryOptimizationJobRuns,25,25,0,0,success,✅," Daily Einstein Discovery Optimization Job Runs"
DailyEinsteinDiscoveryPredictAPICalls,50000,50000,0,0,success,✅," Daily Einstein Discovery Predict A P I Calls"
DailyEinsteinDiscoveryPredictionsByCDC,500000,500000,0,0,success,✅," Daily Einstein Discovery Predictions By C D C"
DailyEinsteinDiscoveryStoryCreation,100,100,0,0,success,✅," Daily Einstein Discovery Story Creation"
DailyFunctionsApiCallLimit,50000,50000,0,0,success,✅," Daily Functions Api Call Limit"
DailyGenericStreamingApiEvents,10000,10000,0,0,success,✅," Daily Generic Streaming Api Events"
DailyScratchOrgs,10,10,0,0,success,✅," Daily Scratch Orgs"
DailyStandardVolumePlatformEvents,10000,10000,0,0,success,✅," Daily Standard Volume Platform Events"
DailyStreamingApiEvents,10000,10000,0,0,success,✅," Daily Streaming Api Events"
DailyWorkflowEmails,405,405,0,0,success,✅," Daily Workflow Emails"
DataStorageMB,5,5,0,0,success,✅," Data Storage M B"
DurableStreamingApiConcurrentClients,20,20,0,0,success,✅," Durable Streaming Api Concurrent Clients"
FileStorageMB,20,20,0,0,success,✅," File Storage M B"
HourlyAsyncReportRuns,1200,1200,0,0,success,✅," Hourly Async Report Runs"
HourlyDashboardRefreshes,200,200,0,0,success,✅," Hourly Dashboard Refreshes"
HourlyDashboardResults,5000,5000,0,0,success,✅," Hourly Dashboard Results"
HourlyDashboardStatuses,999999999,999999999,0,0,success,✅," Hourly Dashboard Statuses"
HourlyElevateAsyncReportRuns,1200,1200,0,0,success,✅," Hourly Elevate Async Report Runs"
HourlyElevateSyncReportRuns,500,500,0,0,success,✅," Hourly Elevate Sync Report Runs"
HourlyLongTermIdMapping,100000,100000,0,0,success,✅," Hourly Long Term Id Mapping"
HourlyManagedContentPublicRequests,50000,50000,0,0,success,✅," Hourly Managed Content Public Requests"
HourlyODataCallout,1000,1000,0,0,success,✅," Hourly O Data Callout"
HourlyPublishedPlatformEvents,50000,50000,0,0,success,✅," Hourly Published Platform Events"
HourlyPublishedStandardVolumePlatformEvents,1000,1000,0,0,success,✅," Hourly Published Standard Volume Platform Events"
HourlyShortTermIdMapping,100000,100000,0,0,success,✅," Hourly Short Term Id Mapping"
HourlySyncReportRuns,500,500,0,0,success,✅," Hourly Sync Report Runs"
HourlyTimeBasedWorkflow,1000,1000,0,0,success,✅," Hourly Time Based Workflow"
MassEmail,10,10,0,0,success,✅," Mass Email"
MonthlyEinsteinDiscoveryStoryCreation,500,500,0,0,success,✅," Monthly Einstein Discovery Story Creation"
Package2VersionCreates,10,10,0,0,success,✅," Package2 Version Creates"
Package2VersionCreatesWithoutValidation,500,500,0,0,success,✅," Package2 Version Creates Without Validation"
PermissionSets,1500,1495,5,0.33,success,✅," Permission Sets"
PlatformEventTriggersWithParallelProcessing,5,5,0,0,success,✅," Platform Event Triggers With Parallel Processing"
PublishCallbackUsageInApex,5242880,5242880,0,0,success,✅," Publish Callback Usage In Apex"
SingleEmail,15,15,0,0,success,✅," Single Email"
StreamingApiConcurrentClients,20,20,0,0,success,✅," Streaming Api Concurrent Clients"